threshold,accuracy,precision,recall,f1_score,specificity,false_negatives,false_positives,true_positives,true_negatives
0.3,0.8198,0.635,0.9216,0.752,0.7769,209,1412,2457,4918
0.35,0.8337,0.66,0.9051,0.7634,0.8036,253,1243,2413,5087
0.4,0.8443,0.6834,0.8841,0.7709,0.8275,309,1092,2357,5238
0.45,0.852,0.7032,0.8665,0.7763,0.846,356,975,2310,5355
0.5,0.8577,0.7223,0.8447,0.7787,0.8632,414,866,2252,5464
0.55,0.8598,0.7352,0.8237,0.7769,0.875,470,791,2196,5539
0.6,0.862,0.7519,0.7978,0.7742,0.8891,539,702,2127,5628
0.65,0.8613,0.7642,0.7693,0.7667,0.9,615,633,2051,5697
0.7,0.8597,0.7777,0.7374,0.757,0.9112,700,562,1966,5768
