target,model,val_roc_auc,val_pr_auc,val_recall_0.5,val_precision_0.5,val_f1_0.5,val_r2,val_mae,val_rmse
failure_within_30d_target,Logistic Regression (Tuned),0.8499135225161745,0.6609605269941876,0.7850746268656716,0.46964285714285714,0.587709497206704,,,
failure_within_30d_target,Random Forest (Tuned),0.8395746588943694,0.6128310321425827,0.7104477611940299,0.5074626865671642,0.5920398009950248,,,
failure_within_30d_target,HistGradientBoosting (Tuned),0.8421574530779579,0.6463309658059156,0.7343283582089553,0.49298597194388777,0.5899280575539568,,,
block_required_target,Logistic Regression (Tuned),0.8236702887317238,0.6105107612473705,0.7353760445682451,0.5136186770428015,0.6048109965635738,,,
block_required_target,Random Forest (Tuned),0.8059123234029673,0.5702753816535663,0.6824512534818942,0.5212765957446809,0.5910735826296744,,,
block_required_target,HistGradientBoosting (Tuned),0.8151513967857935,0.6076879003089478,0.6963788300835655,0.5197505197505198,0.5952380952380952,,,
priority_score_target,Ridge Regression (Tuned),,,,,,0.7412104046534249,5.342824757813064,6.823697786256637
priority_score_target,Random Forest Regressor (Tuned),,,,,,0.7461744781205902,5.313743761044789,6.75793518747569
priority_score_target,HistGradientBoosting Regressor (Tuned),,,,,,0.7493014676469123,5.247755020925579,6.716179181206528
maintenance_duration_hours_target,Ridge Regression (Tuned),,,,,,0.3589192689568863,1.118157167207659,1.3951449388423602
maintenance_duration_hours_target,Random Forest Regressor (Tuned),,,,,,0.32998944238890526,1.1357120662885147,1.4262767056557315
maintenance_duration_hours_target,HistGradientBoosting Regressor (Tuned),,,,,,0.34397634091048135,1.1241567759052957,1.4113109700944337
