model_name,best_cv_f1,val_accuracy,val_precision_urgent,val_recall_urgent,val_f1_urgent,val_macro_f1,val_roc_auc,val_pr_auc,tn,fp,fn,tp,best_params,artifact_path
XGBoost (Tuned),0.7901,0.8577,0.7223,0.8447,0.7787,0.8369,0.9229,0.8272,5464,866,414,2252,"{'subsample': 1.0, 'scale_pos_weight': 1.8, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 150, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.5, 'colsample_bytree': 0.8}",C:\Users\acous\Desktop\sih2026\ml\models\tuned_models\xgboost_tuned.joblib
Random Forest (Tuned),0.7872,0.8522,0.7078,0.8533,0.7738,0.832,0.9202,0.821,5391,939,391,2275,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.3, 'max_depth': 12}",C:\Users\acous\Desktop\sih2026\ml\models\tuned_models\random_forest_tuned.joblib
Logistic Regression (Tuned),0.7523,0.8195,0.6484,0.8537,0.737,0.7998,0.9093,0.8002,5096,1234,390,2276,{'C': 0.1},C:\Users\acous\Desktop\sih2026\ml\models\tuned_models\logistic_regression_tuned.joblib
