model_name,accuracy,precision_urgent,recall_urgent,f1_urgent,macro_f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives,artifact_path
Logistic Regression (Baseline),0.8393,0.7709,0.7789,0.7749,0.8249,0.9111,0.8347,3374,493,471,1659,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\logistic_regression_baseline.joblib
Logistic Regression (Balanced),0.8261,0.7112,0.8592,0.7782,0.8176,0.911,0.8339,3124,743,300,1830,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\logistic_regression_balanced.joblib
Random Forest (Default),0.8598,0.7936,0.8178,0.8055,0.8479,0.9178,0.8361,3414,453,388,1742,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\random_forest_default.joblib
Random Forest (Balanced),0.8593,0.7725,0.8559,0.812,0.8498,0.9182,0.8359,3330,537,307,1823,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\random_forest_balanced.joblib
XGBoost (Default),0.8634,0.7881,0.8418,0.8141,0.8531,0.9267,0.8607,3385,482,337,1793,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\xgboost_default.joblib
XGBoost (Weighted),0.8574,0.7527,0.8915,0.8162,0.8499,0.9268,0.8593,3243,624,231,1899,C:\Users\acous\Desktop\sih2026\ml\models\baseline_models\xgboost_weighted.joblib
