threshold,accuracy,precision,recall,f1_score,specificity,false_negatives,false_positives,true_positives,true_negatives
0.3,0.8269,0.6881,0.9376,0.7937,0.766,133,905,1997,2962
0.35,0.8386,0.7085,0.9268,0.8031,0.79,156,812,1974,3055
0.4,0.8461,0.727,0.9075,0.8073,0.8123,197,726,1933,3141
0.45,0.8546,0.7478,0.8911,0.8132,0.8345,232,640,1898,3227
0.5,0.8608,0.7664,0.8746,0.8169,0.8531,267,568,1863,3299
0.55,0.8661,0.7832,0.8615,0.8205,0.8686,295,508,1835,3359
0.6,0.8658,0.7943,0.8394,0.8163,0.8803,342,463,1788,3404
0.65,0.8653,0.804,0.8207,0.8123,0.8898,382,426,1748,3441
0.7,0.8603,0.8167,0.7822,0.799,0.9033,464,374,1666,3493
